batter,Matches,Total Runs,Balls Faced,Wickets,Strike Rate,Runs scored per wicket
KL Rahul,45,1961,1461,40,134.22313483915127,49.025
DA Miller,50,1444,1060,32,136.22641509433961,45.125
Shubman Gill,34,1012,822,24,123.11435523114356,42.166666666666664
DA Warner,83,2841,2057,69,138.11375789985416,41.17391304347826
JC Buttler,43,1437,924,36,155.5194805194805,39.916666666666664
S Dhawan,88,2707,2200,68,123.04545454545455,39.80882352941177
CH Gayle,66,2124,1557,55,136.41618497109826,38.61818181818182
SE Marsh,29,1072,793,28,135.1828499369483,38.285714285714285
KS Williamson,39,1080,928,29,116.37931034482759,37.241379310344826
SR Tendulkar,36,1097,982,31,111.71079429735234,35.38709677419355
YK Pathan,81,1897,1297,54,146.26060138781804,35.129629629629626
MS Dhoni,86,2055,1623,59,126.61737523105361,34.83050847457627
DR Smith,42,1280,889,37,143.9820022497188,34.5945945945946
AB de Villiers,83,2018,1490,59,135.43624161073825,34.20338983050848
Q de Kock,44,1357,1051,40,129.1151284490961,33.925
V Kohli,108,3080,2418,91,127.37799834574028,33.84615384615385
RR Pant,53,1447,1026,43,141.03313840155946,33.651162790697676
SK Raina,91,2342,1755,70,133.44729344729345,33.457142857142856
F du Plessis,54,1626,1298,49,125.26964560862865,33.183673469387756
G Gambhir,89,2460,2116,76,116.2570888468809,32.36842105263158
SR Watson,80,2168,1576,68,137.56345177664974,31.88235294117647
AC Gilchrist,39,1126,792,36,142.17171717171718,31.27777777777778
AM Rahane,74,1978,1732,64,114.20323325635104,30.90625
DPMD Jayawardene,44,1048,862,34,121.57772621809744,30.823529411764707
SS Iyer,48,1296,1072,43,120.89552238805969,30.13953488372093
MK Pandey,85,1934,1676,65,115.39379474940334,29.753846153846155
AT Rayudu,85,2140,1782,72,120.08978675645344,29.72222222222222
JH Kallis,57,1493,1438,51,103.82475660639778,29.274509803921568
SPD Smith,57,1344,1138,46,118.1019332161687,29.217391304347824
N Rana,45,1149,911,40,126.1251372118551,28.725
R Dravid,46,1173,1012,41,115.90909090909092,28.609756097560975
RG Sharma,104,2466,2059,89,119.76687712481788,27.707865168539325
V Sehwag,55,1427,906,52,157.5055187637969,27.442307692307693
KA Pollard,74,1575,1095,58,143.83561643835617,27.155172413793103
SV Samson,75,1789,1419,66,126.07470049330513,27.106060606060606
GJ Maxwell,47,1025,679,38,150.95729013254785,26.973684210526315
SA Yadav,49,1069,818,40,130.68459657701712,26.725
RV Uthappa,116,2834,2175,107,130.29885057471265,26.485981308411215
Yuvraj Singh,61,1244,1076,49,115.61338289962826,25.387755102040817
M Vijay,51,1117,1018,44,109.72495088408645,25.386363636363637
BB McCullum,51,1201,944,48,127.22457627118644,25.020833333333332
KD Karthik,104,1880,1493,76,125.92096450100469,24.736842105263158
WP Saha,51,1009,835,42,120.8383233532934,24.023809523809526
RA Jadeja,78,1116,930,47,120.0,23.74468085106383
MA Agarwal,53,1200,911,51,131.7233809001098,23.529411764705884
PA Patel,67,1459,1256,63,116.16242038216559,23.158730158730158
