bowler,total_run,wickets_taken,extras_given,balls_bowled,overs_bowled,Economy Rate
DJ Bravo,4436,207,258,3296,549,8.080145719489982
SL Malinga,3486,188,292,2974,495,7.042424242424242
A Mishra,4022,175,125,3317,552,7.286231884057971
R Ashwin,4596,174,209,4024,670,6.859701492537313
YS Chahal,3699,172,175,2940,490,7.548979591836734
SP Narine,3907,171,152,3516,586,6.667235494880546
PP Chawla,4368,165,134,3309,551,7.927404718693285
B Kumar,4064,165,246,3384,564,7.205673758865248
Harbhajan Singh,4101,161,173,3496,582,7.046391752577319
JJ Bumrah,3499,161,201,2857,476,7.350840336134453
UT Yadav,4041,153,250,2945,490,8.246938775510204
RA Jadeja,4114,141,123,3262,543,7.5764272559852675
R Vinay Kumar,3041,127,116,2186,364,8.354395604395604
Sandeep Sharma,3046,123,126,2399,399,7.634085213032582
A Nehra,2537,121,115,1974,329,7.711246200607903
Rashid Khan,2411,119,103,2232,372,6.481182795698925
Z Khan,2860,119,169,2276,379,7.546174142480211
Mohammed Shami,2954,116,171,2118,353,8.36827195467422
AR Patel,3140,109,97,2599,433,7.2517321016166285
SR Watson,2742,107,171,2137,356,7.702247191011236
CH Morris,2377,107,157,1801,300,7.923333333333333
DW Steyn,2583,105,177,2282,380,6.7973684210526315
P Kumar,3342,102,236,2637,439,7.612756264236902
RP Singh,2417,100,181,1874,312,7.746794871794871
PP Ojha,2399,99,138,1945,324,7.404320987654321
JD Unadkat,2806,99,77,1942,323,8.687306501547988
IK Pathan,2711,99,142,2113,352,7.701704545454546
TA Boult,2522,99,110,1860,310,8.135483870967741
JA Morkel,2409,96,153,1807,301,8.003322259136212
DS Kulkarni,2513,91,149,1876,312,8.054487179487179
I Sharma,2779,74,197,2090,348,7.985632183908046
